r [kpc],mass_cum [solMass],v_circ,v_rot,v_dm,v_baryon,v_ring,v_bulge
0.0,0.0,0.0,0.0,0.0,0.0,0.187618271073315,16.463291073865044
0.1,5831614762.231138,391.97698424374965,0.0,20.942921738496597,391.4171051523936,0.0,391.66717431356733
0.2,11948236892.444458,416.7186529752235,0.0,29.53022913293623,415.67102533715416,0.0,416.50193390256027
0.30000000000000004,17311588179.374306,420.27305593318204,0.0,36.060538015841985,418.72315333812577,0.0,420.43247541761315
0.4,22010973259.716938,417.0713108028394,0.0,41.51705015848569,414.99977450709105,0.0,417.8757288041753
0.5,26168691387.309925,411.04409097210277,0.0,46.281937663841056,408.4301984050183,0.0,412.75607466026116
0.6,29886197703.581722,403.6821024263875,0.0,50.551875242729416,400.50436667885646,0.0,406.5587025676292
0.7000000000000001,33243253119.57807,395.6522439947701,0.0,54.44409890862523,391.88842579505325,0.0,399.94459002446854
0.8,36302586053.7649,387.2844946069054,0.0,58.03525933798096,382.91146292125995,0.0,393.2360089756218
0.9,39114140707.85022,378.7537257460273,0.0,61.37878454068302,373.7472803577376,0.0,386.59775555524226
1.0,41718279272.37838,370.1583429391137,0.0,64.51371236972291,364.49304487700056,0.0,380.1152421806767
1.1,44148108538.60925,361.5579101995991,0.0,67.46961801124424,355.20694401055584,0.0,373.8316051336354
1.2000000000000002,46431168370.87706,352.9923589903598,0.0,70.26956064773611,345.927440877351,0.0,367.76640733228345
1.3000000000000003,48590668800.80435,344.4927924369203,0.0,72.93194398875629,336.6841481077004,0.0,361.92592526355503
1.4000000000000001,50646407855.08849,336.08769351577405,0.0,75.47174357556548,327.5041276906552,0.0,356.30881539484034
1.5000000000000002,52615461248.05334,327.8067330621874,0.0,77.90134609927922,318.41582014219154,0.0,350.9094005472205
1.6,54512706798.0608,319.6832790628321,0.0,80.2311410099716,309.451713397426,0.0,345.71963437777663
1.7000000000000002,56351227330.23764,311.75607605120496,0.0,82.46994839911333,300.6502262861152,0.0,340.73027908630684
1.8000000000000003,58142622928.6822,304.0703937808874,0.0,84.62533541132662,292.0571125320943,0.0,335.93162117055243
1.9000000000000001,59897254615.39826,296.678784333339,0.0,86.70385479365757,283.72652790570754,0.0,331.313903515984
2.0,61624435479.23636,289.64146293071803,0.0,88.71122782642638,275.72177118641605,0.0,326.86756880293586
2.1,63332581053.54815,283.0263186303281,0.0,90.65248673300155,268.11569086228235,0.0,322.58340684160044
2.2,65029327755.69855,276.9085484933707,0.0,92.53208704547774,260.9907222406834,0.0,318.45268937461725
2.3000000000000003,66721626065.71973,271.36959774992357,0.0,94.35399734215237,254.43816885151568,0.0,314.4671382565446
2.4000000000000004,68415813575.59325,266.49558068827747,0.0,96.1217716998917,248.55683360482388,0.0,310.61892248087605
2.5000000000000004,70117671909.57468,262.37512907186704,0.0,97.83860877308466,243.4508471721267,0.0,306.9007951092878
2.6,71832470679.65396,259.0961446092798,0.0,99.5074004047605,239.2260216115285,0.0,303.30584935673653
2.7,73565001015.51968,256.74244911892396,0.0,101.13077195678059,235.9857032597714,0.0,299.82772447310276
2.8000000000000003,75319600736.87645,255.38956656518175,0.0,102.71111602509333,233.82527099360158,0.0,296.46041212811076
2.9000000000000004,77100172876.17502,255.10074104000122,0.0,104.25062082334952,232.82653658271852,0.0,293.19832177949075
3.0000000000000004,78910198981.91824,255.9231749763829,0.0,105.75129423353854,233.0522157327063,0.0,290.0362232515006
3.1,80752748415.04533,257.88512719340565,0.0,107.21498430817523,234.54143763385764,0.0,286.96922581864953
3.2,82630484677.57704,260.99417513964295,0.0,108.64339684577072,237.3069147299231,0.0,283.99273127416023
3.3000000000000003,84545669671.97432,265.2370048463839,0.0,110.03811053633399,241.334379998943,0.0,281.10250324234994
3.4000000000000004,86500166672.8016,270.5802650323878,0.0,111.40059007681491,246.58383636308088,0.0,278.2944401280357
3.5000000000000004,88495442692.76097,276.9731686851339,0.0,112.73219758073249,252.99325643206842,0.0,275.5648945798272
3.6,90532570838.13715,284.3500671763913,0.0,114.03420254663686,260.48255479546197,0.0,272.91020015643045
3.7,92612233170.5495,292.6343626678572,0.0,115.30779060276069,268.95907428516495,0.0,270.3271449818019
3.8000000000000003,94734724520.01828,301.74154753085173,0.0,116.5540712074273,278.3219538435429,75.75972201713972,267.8125734747585
3.9000000000000004,96899957626.8247,311.58245853215146,0.0,117.77408445438496,288.4664512484446,113.1154686226023,265.3634945770807
4.0,99107469925.17749,322.0660908384365,0.0,118.96880710763338,299.28747017431044,142.88439375263783,262.9772610422428
4.1,101356432219.45633,333.1013781027425,0.0,120.13915797027778,310.6816872880326,169.06828834144,260.6511551737966
4.2,103645659443.31853,344.59910501610767,0.0,121.28600267554702,322.5496066233682,193.07149874283584,258.38274924244604
4.3,105973623633.05183,356.47294322832386,0.0,122.41015797461556,334.7965239940425,215.55914884812813,256.1697988178232
4.3999999999999995,108338469189.29398,368.64002394452376,0.0,123.5123955847061,347.33291722891187,236.8946599138388,254.00999093549996
4.5,110738030445.84218,381.0216574929549,0.0,124.5934456516721,360.07495994490154,257.29304589691145,251.9013007358482
4.6,113169851511.11548,393.54345004594796,10334.225535451424,125.65399987351509,372.9443918198184,276.88730080569246,249.84183405185004
4.7,115631208297.35579,406.13524011822733,21808.426184124015,126.69471432479796,385.8682192511428,295.76132156084293,247.82962554269344
4.8,118119132605.37254,418.73131375926266,29325.99571241351,127.71621201644975,398.77873853896386,313.9679985860139,245.86292557972234
4.9,120630438089.08568,431.2702521969123,35496.70238838672,128.71908522083638,411.61320135522794,331.53978670192646,243.9401511919276
5.0,123161747884.82611,443.69470433318946,40934.251736283855,129.70389758805402,424.3134332115635,348.4953574164143,242.0596526953421
5.1,125709523655.81549,455.9513481256686,45899.94794813859,130.67118607606483,436.82567803082395,364.8439306179628,240.21985612834794
5.2,128270095772.91153,467.99085132795466,50533.084125449095,131.62146271444297,449.10046479554467,380.5882336371921,238.41942852145328
5.3,130839694328.94827,479.7676085318221,54917.89339118383,132.5552162190585,461.09226066966505,395.7265851933939,236.6570147294136
