,MAP,median,errplus,errminus
Re,4.82,4.82,0.0,0.0
M_baryon,11.209936615505253,11.209565379382934,0.008374836507568872,0.016254287105718745
M_vir,11.922609014833437,11.9229171059314,0.023998121238381742,0.021196034810877507
BT,0.5004413605033617,0.5004142315411273,0.009102811674593259,0.017245035071858483
DT,0.09999999999999998,0.09999999999999998,0.0,0.0
R_peak,4.56798986947177,4.570487692286576,0.020178187839699824,0.0328014676710513
ring_FWHM,5.0561060303068555,5.058631603326713,0.009979959808487315,0.01043150326231057
sigma,59.99868226063769,59.99951785445732,0.006925114797603271,0.011212137537079059
c,4.0,4.0,0.0,0.0
alpha,1.0,1.0,0.0,0.0
i,25.0,25.0,0.0,0.0
f,0.16788439263179372,0.16882882093197832,0.00895295190043982,0.004076638104687891
