x r/re,result
0.001,6.072912904162937e-07
0.0010595601792776,6.816818827881062e-07
0.0011226677735108,7.651803700606994e-07
0.0011895340673703,8.589010879730442e-07
0.0012603829296797,9.64094579663095e-07
0.0013354515629298,1.0821642229118547e-06
0.0014149912974345,1.2146848832260425e-06
0.001499268432786,1.363423839533201e-06
0.001588565129428,1.5303642580171384e-06
0.0016831803533309,1.7177315242410422e-06
0.0017834308769319,1.9280227797746126e-06
0.0018896523396912,2.164040053131492e-06
0.0020022003718155,2.428927420248266e-06
0.0021214517849106,2.7262126829388944e-06
0.0022478058335487,3.059854114341793e-06
0.0023816855519761,3.434292882822925e-06
0.0025235391704347,3.854511843275769e-06
0.0026738416158399,4.3261014662453024e-06
0.0028330961018393,4.855333766948212e-06
0.0030018358135755,5.4492452017555655e-06
0.0031806256927941,6.115729615276931e-06
0.0033700643292719,6.863642450666684e-06
0.0035707859649004,7.702917580116555e-06
0.0037834626171319,8.644698280327646e-06
0.0040088063288984,9.701484053383851e-06
0.0042475715525368,1.0887295195938488e-05
0.0045005576757004,1.2217857262473688e-05
0.0047686116977144,1.3710807796956154e-05
0.0050526310653356,1.538592801696063e-05
0.0053535666774107,1.726540243762033e-05
0.0056724260684919,1.9374109775831052e-05
0.0060102767820703,2.173994889056455e-05
0.0063682499447185,2.439420393006769e-05
0.0067475440531106,2.7371953381485302e-05
0.0071494289865975,3.07125282303421e-05
0.0075752502587719,3.446002511796512e-05
0.0080264335222571,3.8663880984382e-05
0.0085044893418026,4.3379516535378224e-05
0.009011018251665,4.866905666479312e-05
0.009547716114208,5.460213694407064e-05
0.010116379797662,6.125680634211948e-05
0.0107189131920512,6.872053753673594e-05
0.011357333583431,7.709135740127628e-05
0.0120337784077758,8.647911188859634e-05
0.0127505124071301,9.700688094101408e-05
0.0135099352119802,0.0001088125610123
0.0143145893752347,0.0001220506347061
0.0151671688847092,0.0001368941492905
0.0160705281826163,0.0001535369282461
0.017027691722259,0.0001721960428059
0.0180418640939207,0.000193114573367
0.019116440753857,0.000216564693982
0.0202550193923066,0.000242851116894
0.021461411978584,0.0002723149379652
0.0227396575235792,0.0003053379283868
0.0240940356023952,0.0003423473229332
0.0255290806823951,0.0003838211603051
0.0270495973046313,0.0004302942370355
0.0286606761694825,0.0004823647427338
0.0303677111803545,0.000540701651514
0.0321764175025073,0.000606052951883
0.0340928506974681,0.0006792548056275
0.0361234269970943,0.0007612417350119
0.0382749447851631,0.0008530579470717
0.0405546073584082,0.000955869913871
0.0429700470432084,0.0010709803383182
0.0455293507486695,0.0011998436463955
0.0482410870416537,0.0013440831585023
0.0511143348344016,0.0015055101045816
0.0541587137807947,0.0016861446604116
0.0573844164830239,0.0018882391944017
0.0608022426164942,0.0021143039266043
0.0644236350872137,0.0023671352128709
0.0682607183427238,0.0026498466772329
0.0723263389648353,0.0029659034238784
0.0766341086800745,0.0033191595656433
0.0811984499318401,0.0037138993077219
0.086034644166845,0.0041548818220314
0.0911588829975082,0.0046473901376916
0.096588322411587,0.0051972842543673
0.1023411402105453,0.0058110586553645
0.1084365968689611,0.0064959043533223
0.1148951000187309,0.0072597755395017
0.1217382727739662,0.0081114608236467
0.1289890261253309,0.0090606589400113
0.1366716356462007,0.0101180586501256
0.1448118227674534,0.0112954223870096
0.1534368408930013,0.0126056729502174
0.1625755666443795,0.0140629822664843
0.1722585965398787,0.0156828608655224
0.1825183494319044,0.0174822462719285
0.1933891750455232,0.0194795879680662
0.2049074689815848,0.0216949259237021
0.2171117945694505,0.0241499588999817
0.2300430119772919,0.0268680978011521
0.2437444150122221,0.029874498251842
0.2582618760682677,0.0331960653062043
0.2736439997074671,0.0368614217389478
0.2899422853882878,0.0409008297236175
0.3072112998861759,0.0453460538798354
0.325508859983506,0.0502301516891109
0.3448962260405759,0.0555871751940943
0.3654383070957258,0.0614517657683662
0.3872038781812557,0.067858621715637
0.4102658105827194,0.0748418166777232
0.4347013158125026,0.0824339455538485
0.4605922041145108,0.0906650741730849
0.4880251583654433,0.099561469743054
0.517092024289676,0.1091440916441601
0.5478901179593945,0.1194268271168343
0.5805225516094902,0.1304144644912024
0.6150985788580504,0.1421004089104386
0.6517339604882427,0.1544641625536019
0.6905513520162331,0.1674686144791684
0.73168071434272,0.1810572148351296
0.7752597488629465,0.1951511448026185
0.821434358491943,0.2096466370355683
0.8703591361485166,0.2244126503026846
0.9221978823334332,0.2392891539173105
0.9771241535346502,0.2540863279394681
1.0353218432956626,0.2685850272457406
1.096985797892384,0.2825388821224588
1.162322468679853,0.2956784030589642
1.231550603292826,0.307717409091099
1.3049019780144029,0.3183619928160088
1.3826221737646565,0.3273220585491539
1.4649713983072865,0.3343252160768212
1.552225357427048,0.3391324848092708
1.6446761779946644,0.3415548815490637
1.7426333860096508,0.3414695705770341
1.8464249428955444,0.3388339114232063
1.9563983435170649,0.333695532732822
2.072921779595372,0.3261965844236179
2.1963853724165467,0.3165706597864823
2.3272024789604098,0.3051315824935114
2.465811075822604,0.2922542827970676
2.612675225563329,0.2783492410203774
2.768286630392067,0.2638331992652316
2.933166278390045,0.2490997639233774
3.107866187782014,0.2344938287469313
3.2929712550971515,0.220293256342432
3.489101213406774,0.206699973572026
3.696912707195029,0.1938408229648587
3.917101490809261,0.1817766424665998
4.150404757850477,0.1705166407688348
4.397603609302721,0.1600345946506283
4.659525668664682,0.1502837949088477
4.937047852839004,0.1412087591541246
5.231099308056264,0.1327530392190282
5.542664520663108,0.1248635196290853
5.872786613189483,0.1174921715045585
6.222570836730231,0.11059630349425
6.593188271333548,0.1041381168344776
6.985879746785249,0.098084036679456
7.401959996915645,0.0924040822647103
7.842822061337682,0.0870713165725526
8.309941949353396,0.0820614031570828
8.804883581643464,0.077352244184068
9.329304026284689,0.0729236882402603
9.884959046625584,0.0687572853972749
10.473708979594509,0.0648360898908992
11.09752496412072,0.061144486913796
11.75849554052158,0.0576680519376632
12.45883364295008,0.0543934281119824
13.200884008314194,0.0513082220075715
13.987131026472388,0.0484009110803375
14.8202070579886,0.045660766770724
15.702901247293775,0.043077783554081
16.638168860761308,0.0406426187839707
17.62914118095948,0.0383465381058423
18.679135990207847,0.0361813681096213
19.79166867853557,0.0341394520276799
20.97046401323235,0.032213613207626
22.21946860939524,0.0303971174616013
23.542864143224204,0.0286836435889025
24.945081352303166,0.0270672537928908
26.430814869741084,0.0255423680508067
28.00503894183631,0.0241037393135657
29.673024081888727,0.0227464325533802
31.440354715915,0.0214658037840663
33.31294787934677,0.0202574818449435
35.2970730273065,0.0191173509365687
37.39937302478802,0.0180415350501963
39.62688638701479,0.017026382578577
41.987070844439145,0.0160684535889355
44.487828311275855,0.0151645057145417
47.13753134116729,0.0143114832068534
49.9450511585514,0.0135065054543362
52.91978735958448,0.0127468567949804
56.07169938205458,0.0120299763327429
59.4113398496504,0.0113534494298991
62.94988990221888,0.0107149987432993
66.69919663030129,0.01011247641361
70.67181273927491,0.0095438564584541
74.8810385759003,0.0090072278985992
79.34096665797492,0.0085007878474487
84.06652885618334,0.0080228357806963
89.0735463861044,0.007571767048087
94.37878277775393,0.0071460678414136
100.0,0.0067443098447852
