x r/rpeak,V2,menc
0.001,-1.6410463238592694e-07,7.449071480709733e-39
0.001584893192461114,-4.122129356376424e-07,1.9855135403754584e-38
0.0025118864315095794,-1.0354367250578502e-06,5.483507178744947e-38
0.003981071705534973,-2.600928769621382e-06,1.6038658817707577e-37
0.00630957344480193,-6.533422621676903e-06,5.151656640573491e-37
0.01,-1.6412382612218355e-05,1.9311984300400547e-36
0.01584893192461114,-4.123340607670567e-05,9.366615788687208e-36
0.025118864315095808,-0.00010362013034650066,6.991214210621927e-35
0.039810717055349734,-0.0002605758179436668,1.0645778034585466e-33
0.06309573444801933,-0.000656397760293079,5.087839502832822e-32
0.1,-0.0016606507180513322,1.409926431547382e-29
0.10551130635362277,-0.0018512455750139935,3.152976711237513e-29
0.11132635768448033,-0.0020640356322380636,7.310022980144357e-29
0.11746189430880191,-0.0023016835402259296,1.759639264118728e-28
0.12393557915292853,-0.0025671904050727492,4.404288628485738e-28
0.13076604860118307,-0.0028639434477394196,1.1479417113501459e-27
0.13797296614612148,-0.0031957714910173162,3.120339281121433e-27
0.14557707899561445,-0.0035670098221219216,8.858603631247096e-27
0.15360027779971816,-0.003982576346184517,2.630552563283001e-26
0.16206565966927625,-0.004448061412864148,8.182234904275155e-26
0.17099759466766967,-0.004969834300900205,2.6696077994553684e-25
0.18042179596713107,-0.005555170124955386,9.148637431569727e-25
0.19036539387158782,-0.006212401942041899,3.297231526702339e-24
0.20085701391913166,-0.00695110417472795,1.2512266658092487e-23
0.21192685928895372,-0.007782315234706017,5.0046540597555513e-23
0.22360679774997896,-0.008718809602517577,2.1118278204017024e-22
0.2359304534015059,-0.009775432819646252,9.408224490464134e-22
0.2489333034699541,-0.01096951722044403,4.4273945585170246e-21
0.2626527804403767,-0.012321402265170917,2.2013948028042637e-20
0.277128379816754,-0.01385509179472461,1.1565013428457057e-19
0.2924017738212865,-0.015599092415261492,6.416994738942848e-19
0.3085169313600048,-0.017587494546031878,3.757664363747302e-18
0.3255202446000507,-0.019861382590134462,2.3193429326194356e-17
0.3434606625230216,-0.022470698153930414,1.5062513049033531e-16
0.36238983183884776,-0.0254767367152053,1.0267615785313363e-15
0.3823622456658649,-0.028955545787653303,7.323612165936466e-15
0.40343540040510245,-0.0330026316943475,5.444445327595422e-14
0.4256699612603922,-0.03773960909940053,4.19796794881447e-13
0.4491299368807998,-0.043323810203746094,3.337389003198909e-12
0.4738828636281331,-0.04996254091042805,2.716197172817334e-11
0.5,-0.05793490124993695,2.2439817356321037e-10
0.5058097201509613,-0.05986082005522608,3.5394984841061444e-10
0.5116869459983875,-0.061870539989308096,5.583664591578823e-10
0.5176324619206888,-0.06396910115913845,8.808516857706744e-10
0.5236470614103134,-0.06616195739598224,1.389444365251855e-09
0.5297315471796477,-0.0684550209443231,2.1911986988572496e-09
0.5358867312681466,-0.0708547133366322,3.454380431298606e-09
0.5421134351507092,-0.07336802354009789,5.4431482416496634e-09
0.548412489847313,-0.07600257465712673,8.571635947211142e-09
0.5547847360339225,-0.07876670079739904,1.3488104644773788e-08
0.5612310241546865,-0.08166953601843935,2.120557133953717e-08
0.5677522145354387,-0.08472111774476025,3.330405469290058e-08
