x r/rpeak,V2,menc
0.001,-1.0278658774039091e-07,5.372589547533987e-87
0.001584893192461114,-2.5818868270221143e-07,1.569305857126031e-86
0.0025118864315095794,-6.485434731335414e-07,5.0306607464492295e-86
0.003981071705534973,-1.6290853706867587e-06,1.8808078000176985e-85
0.00630957344480193,-4.092189880813922e-06,9.097101029273243e-85
0.01,-1.027982576453407e-05,6.791705425752148e-84
0.01584893192461114,-2.5826232689975083e-05,1.0488969506290598e-82
0.025118864315095808,-6.490083280941432e-05,5.3245210246499305e-81
0.039810717055349734,-0.00016320214464171328,1.791949409897912e-78
0.06309573444801933,-0.0004110763606978428,1.1267472725561013e-74
0.1,-0.0010397791139657496,5.81762265447231e-69
0.10551130635362277,-0.001159068701154606,3.908879372838163e-68
0.11132635768448033,-0.0012922382972726909,2.8726810725884633e-67
0.11746189430880191,-0.001440950177595997,2.3173858199846907e-66
0.12393557915292853,-0.001607077209890648,2.059441186036074e-65
0.13076604860118307,-0.001792732335389093,2.023555386072727e-64
0.13797296614612148,-0.002000302849505446,2.206338769741168e-63
0.14557707899561445,-0.0022324904210959257,2.6791081065400164e-62
0.15360027779971816,-0.002492358009183872,3.635972206995944e-61
0.16206565966927625,-0.0027833851148776683,5.53456453266322e-60
0.17099759466766967,-0.003109533165653777,9.48098314636476e-59
0.18042179596713107,-0.003475323290198017,1.8337566985387593e-57
0.19036539387158782,-0.003885929343956196,4.016771163307012e-56
0.20085701391913166,-0.00434728983043658,9.99269582890013e-55
0.21192685928895372,-0.004866243402625144,2.830415425457046e-53
0.22360679774997896,-0.00545069401046854,9.147666017915604e-52
0.2359304534015059,-0.006109813615124139,3.37908240564068e-50
0.2489333034699541,-0.006854292916140095,1.428295358722664e-48
0.2626527804403767,-0.007696653986020186,6.911834746477126e-47
0.277128379816754,-0.008651643506966959,3.828454017352916e-45
0.2924017738212865,-0.009736732033324197,2.424511433157496e-43
0.3085169313600048,-0.01097275428637464,1.7517233046880048e-41
0.3255202446000507,-0.01238473932231453,1.4391272422528246e-39
0.3434606625230216,-0.014002999712474621,1.3380694972172937e-37
0.36238983183884776,-0.015864579162514506,1.3991614002203093e-35
0.3823622456658649,-0.018015204083965997,1.632070010651173e-33
0.40343540040510245,-0.020511956211980563,2.102118785470416e-31
0.4256699612603922,-0.02342699720808217,2.952254609432906e-29
0.4491299368807998,-0.026852862017400305,4.4522558701698995e-27
0.4738828636281331,-0.03091015019217837,7.07861706543235e-25
0.5,-0.03575898767018428,1.1607883568860743e-22
0.5058097201509613,-0.03692632502883178,3.4865368350423835e-22
0.5116869459983875,-0.038142735229151736,1.0471817458887957e-21
0.5176324619206888,-0.03941101153373851,3.1441913450032214e-21
0.5236470614103134,-0.040734159063971494,9.434591820081512e-21
0.5297315471796477,-0.042115415187718455,2.8283175840091594e-20
0.5358867312681466,-0.043558272517218034,8.468046252331092e-20
0.5421134351507092,-0.04506650455545506,2.5312942687244104e-19
0.548412489847313,-0.046644194571013056,7.551895548816412e-19
0.5547847360339225,-0.04829576813011002,2.2478527514055558e-18
0.5612310241546865,-0.0500260298286033,6.67294973089205e-18
0.5677522145354387,-0.05184020490306841,1.9748783318498457e-17
0.5743491774985174,-0.05374398648228193,5.8245773925496e-17
0.5810227934789198,-0.05574358941111011,1.7112511054743449e-16
0.5877739531418044,-0.05784581174662588,5.006179552780655e-16
0.5946035575013605,-0.060058105254212776,1.457655510049181e-15
0.6015125180410583,-0.06238865649491741,4.222462552628462e-15
0.6085017568352955,-0.06484648044911245,1.216297607284973e-14
0.6155722066724582,-0.06744152901501918,3.4823441266549103e-14
0.6227248111794115,-0.07018481728982198,9.904892708102637e-14
0.6299605249474366,-0.07308857118451514,2.797411016200983e-13
0.6372803136596311,-0.07616640079977159,7.840918325297897e-13
0.6446851542197896,-0.07943350510494193,2.179971912640516e-12
0.6521760348827821,-0.08290691491113167,6.0085639463963475e-12
0.6597539553864471,-0.08660578304854956,1.6408996204963578e-11
0.6674199270850172,-0.09055173321214258,4.437452317252491e-11
0.675174973084095,-0.0947692824248205,1.1875928200920303e-10
