Rpeak,BTmin
1.0,0.2861
1.1,0.2726
1.2000000000000002,0.2597
1.3000000000000003,0.2492
1.4000000000000004,0.23900000000000002
1.5000000000000004,0.2325
1.6000000000000005,0.22460000000000002
1.7000000000000006,0.217
1.8000000000000007,0.2111
1.9000000000000008,0.20670000000000002
2.000000000000001,0.2025
2.100000000000001,0.197
2.200000000000001,0.19290000000000002
2.300000000000001,0.1903
2.4000000000000012,0.1864
2.5000000000000013,0.1825
2.6000000000000014,0.18000000000000002
2.7000000000000015,0.1776
2.8000000000000016,0.1751
2.9000000000000017,0.17270000000000002
3.0000000000000018,0.1704
3.100000000000002,0.16920000000000002
3.200000000000002,0.16690000000000002
3.300000000000002,0.1646
3.400000000000002,0.1623
3.500000000000002,0.1612
3.6000000000000023,0.16010000000000002
3.7000000000000024,0.1579
3.8000000000000025,0.1568
3.9000000000000026,0.1557
4.000000000000003,0.15460000000000002
4.100000000000003,0.1525
4.200000000000003,0.1515
4.3000000000000025,0.1515
4.400000000000003,0.1494
4.5000000000000036,0.1484
4.600000000000003,0.14730000000000001
4.700000000000003,0.14730000000000001
4.800000000000003,0.1463
4.900000000000004,0.1453
5.0000000000000036,0.1443
5.100000000000003,0.1433
5.200000000000004,0.1433
5.300000000000004,0.1423
5.400000000000004,0.1414
5.5000000000000036,0.1414
5.600000000000004,0.1404
5.700000000000005,0.1394
5.800000000000004,0.1385
5.900000000000004,0.1385
6.000000000000004,0.1375
6.100000000000005,0.1375
6.200000000000005,0.1366
6.300000000000004,0.1366
6.400000000000005,0.1356
6.500000000000005,0.1356
6.600000000000005,0.13470000000000001
6.700000000000005,0.13470000000000001
6.800000000000005,0.1337
6.900000000000006,0.1337
7.000000000000005,0.1328
7.100000000000005,0.1328
7.2000000000000055,0.1328
7.300000000000006,0.13190000000000002
7.400000000000006,0.13190000000000002
7.500000000000005,0.13190000000000002
7.600000000000006,0.131
7.700000000000006,0.131
7.800000000000006,0.1301
7.900000000000006,0.1301
8.000000000000007,0.1301
8.100000000000007,0.1292
8.200000000000006,0.1292
8.300000000000006,0.1292
8.400000000000006,0.1283
8.500000000000007,0.1283
8.600000000000007,0.1283
8.700000000000006,0.1283
8.800000000000008,0.1274
8.900000000000007,0.1274
9.000000000000007,0.1274
9.100000000000007,0.1274
9.200000000000006,0.12660000000000002
9.300000000000008,0.12660000000000002
9.400000000000007,0.12660000000000002
9.500000000000007,0.12660000000000002
9.600000000000009,0.1257
9.700000000000008,0.1257
9.800000000000008,0.1257
9.900000000000007,0.1257
10.0,0.12480000000000001
10.5,0.124
11.0,0.124
11.5,0.1231
12.0,0.1223
12.5,0.12140000000000001
13.0,0.12140000000000001
13.5,0.1206
14.0,0.1206
14.5,0.1197
15.0,0.1197
15.5,0.1189
16.0,0.1189
16.5,0.1189
17.0,0.11810000000000001
17.5,0.11810000000000001
18.0,0.11810000000000001
18.5,0.1173
19.0,0.1173
19.5,0.1173
20.0,0.1173
