,MAP,median,errplus,errminus
Re,4.82,4.82,0.0,0.0
M_baryon,11.214727316312601,11.207084734072437,0.005300554234075605,0.07900916918011625
M_vir,11.912797070105256,11.92129280634656,0.03599164169120428,0.038300532879450344
BT,0.503721483730948,0.4979344396004154,0.006468922174949876,0.017919014620381812
DT,0.09999999999999998,0.09999999999999998,0.0,0.0
R_peak,4.566261604761975,4.571121425444348,0.03989649614910462,0.031116908573996405
ring_FWHM,5.090113766162457,5.059547855743386,0.07275685226627182,0.09437807756994854
sigma,59.99896929805034,59.99770018825357,0.042740143103642936,0.03219301121583129
c,4.0,4.0,0.0,0.0
alpha,1.0,1.0,0.0,0.0
i,25.0,25.0,0.0,0.0
f,0.17034727837722563,0.17149429418525464,0.041903671419905725,0.006086888339046276
