r [kpc],mass_cum [solMass],v_circ,v_rot,v_dm,v_baryon,v_ring,v_bulge
2.9000000000000004,75744761428.61667,298.92236436407813,305.17781041234707,105.4063574054403,279.72143238501997,0.0,292.01921634303824
3.0000000000000004,77447886743.73244,297.11531208630237,303.2372075179324,106.92094608818657,277.2100646869589,0.0,288.8698342847137
3.1,79176035332.59361,295.60980936925,301.564651158357,108.39808601647329,275.0182072941528,0.0,285.8151708697544
3.2,80931710244.31047,294.4113689967269,300.1654918590811,109.83950519125558,273.1544202349049,0.0,282.850646383203
3.3000000000000003,82717051708.00006,293.52397578768574,299.0437866533303,111.2468028876035,271.6256122119131,0.0,279.9720414860826
3.4,84533842564.65804,292.9496387604604,298.201863305124,112.62146293376102,270.43649335203213,0.0,277.1752710778927
3.5000000000000004,86383512850.86147,292.6885017601082,297.6404252383854,113.96486526334695,269.5896298971532,0.0,274.45670247517074
3.6,88267144136.51581,292.7382507090814,297.357957916389,115.27829600860852,269.084741108753,0.0,271.81268398132147
3.7,90185473784.06462,293.0944627133663,297.3510528070251,116.56295635473371,268.9190236466756,0.0,269.24001663695253
3.8000000000000003,92138900003.62466,293.75019621422956,297.61397803540854,117.81997033698688,269.0866632995584,35.49330505281018,266.735557551141
3.9000000000000004,94127487714.26495,294.6961136341889,298.1387662497875,119.05039173169324,269.57893764095365,53.106071093010115,264.2963276942934
4.0,96150975445.94958,295.92071438370056,298.9154076735327,120.2552101671369,270.38445522813885,67.12547486077585,261.91969046586166
4.1,98208783885.43974,297.41009191619827,299.93156969554803,121.43535656022462,271.48888918460847,79.45143775926051,259.6029390986916
4.2,100300025904.8963,299.14842926252277,301.1730453237197,122.5917079681211,272.8755318230154,90.74854696575257,257.34365562666994
4.3,102423518300.0656,301.11811167091275,302.6238246374785,123.72509193041289,274.52544290660416,101.33114498721791,255.13960464546972
4.3999999999999995,104577795339.41382,303.29975592397676,304.26608479728526,124.83629036607745,276.41751491390755,111.37086817213807,252.9884824923153
4.5,106761124150.15915,305.67277770752617,306.080719072373,125.9260430801065,278.52913439283486,120.9692252284462,250.88827245060963
4.6,108971522073.67406,308.2155302658257,308.04744534780207,126.9950509268284,280.83637609315565,130.1889925737115,248.8370879707815
4.7,111206774725.97202,310.9054163872968,310.1448921855616,128.04397867038222,283.3141674276404,139.06977237553608,246.83297161569328
4.8,113464458097.72363,313.7194102295369,312.3511006478311,129.0734575772549,285.93690021370276,147.63653506108028,244.8741807928705
4.9,115741959368.756,316.6342693837633,314.643723233717,130.08408777114408,288.6786979618325,155.90461020520615,242.95913889726725
4.999999999999999,118036500959.5218,319.6266117204342,317.00009153445103,131.07644037641737,291.5135291854097,163.88282545598705,241.0862028791677
5.1,120345164827.50697,322.67326336041714,319.39756085659207,132.0510594730602,294.41561198364366,171.5755498947201,239.25380510668552
5.2,122664918002.79622,325.75159381649684,321.81384764754455,133.0084638831481,297.3597979038747,178.98408957868207,237.46061797090385
5.3,124992638743.79347,328.839510874646,324.22702699804455,133.94914880636193,300.321576724563,186.10767011319288,235.70529177633358
5.4,127325143111.26494,331.9156235720304,326.6157016198773,134.8735873199792,303.27726029930056,192.94414916798235,233.9864353258391
5.5,129659211652.14438,334.95954890480857,328.95931939284526,135.78223175691858,306.2043189467179,199.49054559473686,232.30283502346143
5.6,131991615938.80252,337.9519900798485,331.23826143882116,136.67551497382362,309.0814637042638,205.74344065396505,230.65339328403232
5.7,134319144691.382,340.87473273210054,333.4338469264795,137.55385151982333,311.8886361303396,211.69928732338352,229.03696883694317
5.8,136638629204.36508,343.7107535814304,335.5284524406051,138.41763871537728,314.60711915017765,217.35465164517876,227.45240123634014
5.8999999999999995,138946967812.49887,346.4444216521802,337.5057270062012,139.26725764959255,317.21974755786505,222.70640256508403,225.89870848943426
6.0,141241149193.4272,349.0614736129036,339.35057656797375,140.10307410348645,319.7108709249105,227.75186232183773,224.37497676100048
6.1000000000000005,143518274260.36182,351.5489839760823,341.04914216090515,140.92543940584957,322.0663109716445,232.48892519190855,222.8802555768347
