r [kpc],r [arcsec],v_data,v_data_err,v_model,disp_data,disp_data_err,disp_model
-9.919145331227583,-1.2,-37.0,26.57,-128.2693236285817,46.93,16.0,70.75435801875676
-8.348613987116549,-1.01,-67.0,16.64,-139.66515961890903,53.22,15.0,69.85856635303134
-7.356699453993791,-0.89,-88.0,13.45,-141.32433743370197,57.79,15.0,69.68157076584127
-6.034146743163446,-0.73,-104.0,10.25,-137.19451715158385,62.26,15.0,69.8885670816278
-5.124891754467584,-0.62,-116.0,9.97,-131.79551712727715,66.16,10.64,70.04312686622417
-4.050317676917929,-0.48999999999999994,-115.0,10.15,-125.35772723769132,73.82,11.03,70.20248530660169
-2.975743599368275,-0.36,-93.0,11.84,-120.17811659679896,76.65,14.3,71.33671169358249
-1.735850432964827,-0.21,-92.0,16.64,-107.51559215190368,92.38,23.31,81.60983456802921
-0.4959572665613792,-0.06,-54.0,27.51,-45.6839057423392,156.33,39.86,116.26801308872072
0.8265954442689654,0.1,99.0,17.49,70.34913416882937,147.59,24.5,106.53177485965834
1.9838290662455167,0.24,109.0,11.34,111.95198243640364,106.42,13.29,77.75766490592366
2.975743599368275,0.36,119.0,9.73,120.17811659679896,91.47,10.2,71.33671169358247
4.298296310198619,0.52,118.0,9.43,126.732266633064,88.26,10.0,70.14330960349199
5.207551298894481,0.63,106.0,9.59,132.31763433658338,81.32,10.0,70.03305166042603
6.447444465297929,0.78,100.0,10.44,139.12809619075438,85.03,15.0,69.79886316674965
7.687337631701378,0.93,83.0,21.93,141.26991552921982,73.34,24.5,69.698515042129
